id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Armelle;Le roux;Helier_Martinez@hotmail.fr;si secouriste foule;2025-03-03T07:18:53;12413;23472
2;Quiéta;Bertrand;Jules.Guillot@yahoo.fr;après-demain à demi débile;2025-03-03T05:44:07;540;17760
3;Pépin;Rodriguez;Lucas48@gmail.com;sans que;2025-03-02T12:08:07;17275;12659
4;Gatien;Marchand;Almine.Morel@hotmail.fr;détacher de par;2025-03-03T07:14:38;13791;521
5;Basile;Guillaume;Ernest68@yahoo.fr;sédentaire;2025-03-02T14:49:27;27904;30400
6;Quiéta;Lacroix;Thierry.Pons@gmail.com;bien que adversaire;2025-03-03T00:13:06;14143;14338
7;Alcyone;Lemoine;Dominique_Perrot57@gmail.com;tandis que de crainte que du fait que;2025-03-03T04:23:39;17113;15193
8;Charlotte;Huet;Quintia.Clement83@hotmail.fr;aggraver membre de l’équipe autrement;2025-03-02T13:27:29;24058;29659
9;Fleur;Robin;Gwenaelle.Gonzalez57@gmail.com;au-dedans de aussitôt que;2025-03-03T08:26:12;31372;1454
10;Mégane;Vincent;Amarande.Dufour7@yahoo.fr;durer;2025-03-03T10:39:10;3980;14407
